metric_family,node_metric,outcome,kind,min,average,sum,product,r_range_trio,r_range_all
Freeman Centralization (weighted),raw_contribution,goals_against,raw,+0.04,+0.06,+0.06,+0.05,0.0284584691875113,0.0284584691875113
Freeman Centralization (weighted),raw_contribution,goals_against,partial,+0.02,+0.05,+0.05,+0.04,0.028381822265507874,0.028381822265507874
Freeman Centralization (weighted),raw_contribution,shots_against,raw,-0.05,-0.06,-0.06,-0.07,0.0027618543823911407,0.01878884843139065
Freeman Centralization (weighted),raw_contribution,shots_against,partial,-0.11,-0.11,-0.11,-0.11,0.005011380106115321,0.005011380106115321
Freeman Centralization (weighted),raw_contribution,xg_against,raw,-0.07,-0.07,-0.07,-0.09,0.0038336510777495364,0.024284938787974886
Freeman Centralization (weighted),raw_contribution,xg_against,partial,-0.10,-0.10,-0.10,-0.11,0.0028457186837743537,0.011659219961579828
Total Strength,valued_involvement,goals_against,raw,+0.16,+0.16,+0.16,+0.04,0.0051525590661702925,0.11891124472376872
Total Strength,valued_involvement,goals_against,partial,+0.07,+0.07,+0.07,+0.02,0.003287610893608059,0.05256448700360147
Total Strength,valued_involvement,shots_against,raw,+0.55***,+0.56***,+0.56***,+0.30***,0.009770032873567258,0.2606266866135884
Total Strength,valued_involvement,shots_against,partial,+0.41***,+0.41***,+0.41***,+0.27**,0.008698280760241539,0.14649911646863817
Total Strength,valued_involvement,xg_against,raw,+0.38***,+0.39***,+0.39***,+0.17,0.016335657885219346,0.2275714128593425
Total Strength,valued_involvement,xg_against,partial,+0.27**,+0.29***,+0.29***,+0.13,0.018739890440995,0.1586802541969513
Gini (strength inequality),valued_involvement,goals_against,raw,+0.08,+0.07,+0.07,+0.11,0.00788420899159653,0.04302574924869704
Gini (strength inequality),valued_involvement,goals_against,partial,+0.08,+0.07,+0.07,+0.12,0.01283882895654348,0.05887889665047254
Gini (strength inequality),valued_involvement,shots_against,raw,+0.06,+0.05,+0.05,+0.09,0.012253021022028007,0.03903395751456102
Gini (strength inequality),valued_involvement,shots_against,partial,+0.06,+0.03,+0.03,+0.12,0.026855117681948176,0.08452763529455362
Gini (strength inequality),valued_involvement,xg_against,raw,+0.03,+0.03,+0.03,+0.08,0.0035151099371645497,0.05303072257484314
Gini (strength inequality),valued_involvement,xg_against,partial,+0.03,+0.02,+0.02,+0.10,0.011642282132783285,0.08012684160494345
Clustering (weighted),valued_involvement,goals_against,raw,-0.05,-0.06,-0.06,-0.14,0.005428595980750059,0.08730019840743242
Clustering (weighted),valued_involvement,goals_against,partial,-0.06,-0.05,-0.05,-0.15,0.009379861717220439,0.0995328483967896
Clustering (weighted),valued_involvement,shots_against,raw,+0.05,+0.04,+0.04,-0.04,0.013502405797289875,0.09677587006620171
Clustering (weighted),valued_involvement,shots_against,partial,+0.03,+0.05,+0.05,-0.08,0.02507704833700811,0.13640806078420184
