match_id,defending_team,team_name,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y,match_team_id,raw_involvement_self_inv,raw_fault_self_inv,raw_contribution_self_inv,valued_involvement_self_inv,valued_contribution_self_inv,valued_fault_self_inv,raw_responsibility_self_inv,raw_fault_r_self_inv,raw_contribution_r_self_inv,valued_responsibility_self_inv,valued_contribution_r_self_inv,valued_fault_r_self_inv,starter
3812,372,Senegal,home,428,Ismaïla Sarr,480,-0.538008333,15.50191042,111,-0.082027027,19.87301802,36,5.288305556,21.68377778,75,-2.659786667,19.00385333,105,-0.458380952,19.51054286,36,5.288305556,21.68377778,69,-3.456652174,18.37668116,3812_372,9.185733393,4.327216413,4.85851698,0.054472257,0.033057449,0.021414808,0,0,0,0,0,0,1
3812,372,Senegal,home,474,Cheikhou Kouyaté,374,7.24505615,-3.861085561,106,6.49045283,-7.510490566,44,7.180795455,-5.866090909,62,6.000532258,-8.677483871,102,6.685637255,-7.382794118,44,7.180795455,-5.866090909,58,6.31,-8.533396552,3812_372,11.24044156,0.717765399,10.52267616,0.220724309,0.218495483,0.002228827,0,0,0,0,0,0,1
3812,372,Senegal,home,7988,Boulaye Dia,367,-8.301689373,1.495029973,137,-10.05048175,-0.38659854,53,-9.240622642,-1.225792453,84,-10.56146429,0.142892857,132,-9.968613636,-0.450901515,53,-9.240622642,-1.225792453,79,-10.45701266,0.068962025,3812_372,13.85491856,4.461480873,9.393437687,0.064812401,0.059064315,0.005748086,0,0,0,0,0,0,1
3812,372,Senegal,home,9993,Kalidou Koulibaly,480,18.01326458,-4.522472917,54,18.05825926,-4.199444444,21,21.22233333,-6.38747619,33,16.04475758,-2.807060606,54,18.05825926,-4.199444444,21,21.22233333,-6.38747619,33,16.04475758,-2.807060606,3812_372,7,0,7,0.23192888,0.23192888,0,0,0,0,0,0,0,1
3813,50,England,home,1,Harry Kane,191,13.32489005,-1.087743455,47,16.91834043,-2.022021277,18,12.32711111,-1.813388889,29,19.76806897,-2.151517241,45,17.66037778,-2.131577778,18,12.32711111,-1.813388889,27,21.21588889,-2.343703704,3813_50,1.860885139,0.84406276,1.016822379,0.010836773,0.008257064,0.002579709,0,0,0,0,0,0,1
3813,50,England,home,10,John Stones,251,-12.26546215,5.785047809,50,-17.36824,10.61184,24,-14.35666667,11.228875,26,-20.14815385,10.04226923,49,-17.04618367,10.35365306,24,-14.35666667,11.228875,25,-19.62812,9.51344,3813_50,6.651133306,0,6.651133306,0.136329434,0.136329434,0,0,0,0,0,0,0,1
3813,50,England,home,105,Mason Mount,182,3.632054945,-4.029313187,57,7.071701754,-5.909631579,25,7.41716,-6.1736,32,6.8018125,-5.70340625,55,7.0848,-6.013854545,25,7.41716,-6.1736,30,6.807833333,-5.880733333,3813_50,5.581037233,0,5.581037233,0.06004367,0.06004367,0,0,0,0,0,0,0,1
3813,50,England,home,118,Harry Maguire,182,-13.38775275,-6.287456044,29,-10.56155172,-9.043793103,17,-10.21788235,-8.357470588,12,-11.04841667,-10.01608333,29,-10.56155172,-9.043793103,17,-10.21788235,-8.357470588,12,-11.04841667,-10.01608333,3813_50,12,0,12,0.14453877,0.14453877,0,0,0,0,0,0,0,1
3813,50,England,home,123,Luke Shaw,251,-6.43801992,-16.55239044,40,-6.9574,-24.723225,20,-5.31395,-22.9113,20,-8.60085,-26.53515,39,-6.105153846,-24.60548718,20,-5.31395,-22.9113,19,-6.938,-26.38884211,3813_50,8.063689774,0,8.063689774,0.054809628,0.054809628,0,0,0,0,0,0,0,1
3813,50,England,home,136,Marcus Rashford,69,13.3184058,9.860028986,11,8.140818182,16.52154545,3,11.75266667,15.901,8,6.786375,16.75425,10,7.869,16.5571,3,11.75266667,15.901,7,6.204571429,16.83828571,3813_50,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,50,England,home,1377,Kieran Trippier,251,-6.201517928,17.03733068,57,-8.785333333,22.63778947,25,-8.847,22.582,32,-8.73715625,22.681375,55,-8.615545455,22.60410909,25,-8.847,22.582,30,-8.422666667,22.62253333,3813_50,12.02834901,0,12.02834901,0.174841688,0.174841688,0,0,0,0,0,0,0,1
3813,50,England,home,163,Bukayo Saka,182,8.063549451,14.77493407,49,7.559714286,20.12263265,20,10.2088,18.7069,29,5.732758621,21.099,46,7.56523913,20.27473913,20,10.2088,18.7069,26,5.531730769,21.48076923,3813_50,7.283660034,1.091183193,6.19247684,0.034236423,0.033271219,0.000965203,0,0,0,0,0,0,1
3813,50,England,home,169,Jordan Pickford,251,-36.6411992,0.160079681,,,,,,,,,,,,,,,,,,,3813_50,0,0,0,0,0,0,0,0,0,0,0,0,1
3813,50,England,home,21,Phil Foden,69,11.20068116,0.721521739,22,10.42036364,1.234090909,6,11.80816667,1.311666667,16,9.8999375,1.205,21,10.37028571,1.137714286,6,11.80816667,1.311666667,15,9.795133333,1.068133333,3813_50,0.946106671,0,0.946106671,0.001697913,0.001697913,0,0,0,0,0,0,0,0
3813,50,England,home,25,Raheem Sterling,182,8.096714286,-12.3181978,33,10.98024242,-18.99127273,10,11.8141,-16.8629,23,10.61769565,-19.91665217,32,12.23275,-18.73390625,10,11.8141,-16.8629,22,12.42304545,-19.58436364,3813_50,0,0,0,0,0,0,0,0,0,0,0,0,1
3813,50,England,home,265,Declan Rice,251,-5.575167331,-0.337717131,89,-10.04234831,-1.351505618,40,-9.19465,-1.97905,49,-10.73434694,-0.83922449,85,-9.652988235,-1.547976471,40,-9.19465,-1.97905,45,-10.0604,-1.1648,3813_50,10.38528923,0,10.38528923,0.086714472,0.086714472,0,0,0,0,0,0,0,1
3813,50,England,home,311,Callum Wilson,60,17.16595,0.87005,15,13.7506,4.618066667,6,7.466,12.578,9,17.94033333,-0.688555556,15,13.7506,4.618066667,6,7.466,12.578,9,17.94033333,-0.688555556,3813_50,2.03791889,0.719197078,1.318721811,0.005012899,0.004938958,7.39E-05,0,0,0,0,0,0,0
3813,50,England,home,371,Jack Grealish,69,9.953275362,-9.319057971,23,8.563565217,-10.20221739,9,2.215888889,-15.84922222,14,12.64421429,-6.572,23,8.563565217,-10.20221739,9,2.215888889,-15.84922222,14,12.64421429,-6.572,3813_50,4.28967019,0.685792393,3.603877797,0.123382148,0.122604706,0.000777442,0,0,0,0,0,0,0
3813,50,England,home,4677,Jude Bellingham,251,-2.280390438,2.708948207,100,-6.47026,5.08539,48,-5.506291667,6.531770833,52,-7.360076923,3.750269231,95,-6.026684211,5.364757895,48,-5.506291667,6.531770833,47,-6.558148936,4.172914894,3813_50,12,0,12,0.19823207,0.19823207,0,0,0,0,0,0,0,1
