match_id,match_name,defending_team,defending_team_name,defender_id,defender_name,match_team_id,overall_position,most_common_position,mins_played,starter,passes_against,passes_defended,raw_involvement,valued_involvement,raw_fault,valued_fault,raw_contribution,valued_contribution,raw_involvement_per90,valued_involvement_per90,raw_fault_per90,valued_fault_per90,raw_contribution_per90,valued_contribution_per90,raw_involvement_per_pass_against,valued_involvement_per_pass_against,raw_fault_per_pass_against,valued_fault_per_pass_against,raw_contribution_per_pass_against,valued_contribution_per_pass_against,raw_involvement_per_pass_defended,valued_involvement_per_pass_defended,raw_fault_per_pass_defended,valued_fault_per_pass_defended,raw_contribution_per_pass_defended,valued_contribution_per_pass_defended,passes_defended_per90,passes_defended_per_pass_against,overall_rating,defending_rating,def_awareness_rating,interceptions_rating,passes_against_on_field,raw_involvement_per_pass_against_onfield,valued_involvement_per_pass_against_onfield,raw_fault_per_pass_against_onfield,valued_fault_per_pass_against_onfield,raw_contribution_per_pass_against_onfield,valued_contribution_per_pass_against_onfield,passes_defended_per_pass_against_onfield
10512,Morocco vs Portugal,374,Morocco,233,Romain Saïss,10512_374,Back,Left Center Back,56,1,702,30,15.90723417,0.239538009,7.174909256,0.06783582,8.73232491,0.171702189,25.56519777,0.3849718,11.53110416,0.109021853,14.0340936,0.275949947,2.265987773,0.034122223,1.022066846,0.009663222,1.243920927,0.024459001,53.02411388,0.798460029,23.91636419,0.226119399,29.1077497,0.57234063,48.21428571,4.273504274,78.0,79.0,79.0,80.0,406,3.918037972906404,0.058999509605911334,1.7672190285714287,0.016708330049261085,2.150818943349754,0.042291179556650245,7.389162561576355
10512,Morocco vs Portugal,374,Morocco,401,Sofiane Boufal,10512_374,Wing,Left Wing,80,1,702,112,48.97656649,0.506029226,30.83709048,0.299557308,18.13947601,0.206471918,55.0986373,0.569282879,34.69172679,0.337001971,20.40691051,0.232280908,6.976718873,0.072083935,4.392747931,0.042671981,2.583970941,0.029411954,43.72907722,0.451811809,27.5331165,0.267461882,16.19596072,0.184349927,126.0,15.95441595,74.0,27.0,16.0,19.0,580,8.444235601724138,0.08724641827586208,5.316739737931035,0.05164781172413794,3.1274958637931034,0.03559860655172414,19.310344827586206
10512,Morocco vs Portugal,374,Morocco,1681,Achraf Hakimi,10512_374,Back,Right Back,98,1,702,84,35.04484883,0.602288435,20.4632233,0.2566695,14.58162553,0.345618935,32.18404484,0.553122032,18.79275609,0.235716887,13.39128875,0.317405144,4.992143708,0.085796073,2.914989074,0.036562607,2.077154634,0.049233467,41.72005813,0.717010041,24.36098012,0.305558928,17.35907801,0.411451113,77.14285714,11.96581197,85.0,76.0,75.0,78.0,686,5.10857854664723,0.08779714795918367,2.9829771574344024,0.037415379008746356,2.1256013892128283,0.050381768950437326,12.244897959183673
10512,Morocco vs Portugal,374,Morocco,1785,Bono,10512_374,Goalkeeper,Goalkeeper,98,1,702,1,0.01674752,0.000567908,0.01674752,0.000567908,0.0,0.0,0.015380375,0.000521548,0.015380375,0.000521548,0.0,0.0,0.002385687,8.09e-05,0.002385687,8.09e-05,0.0,0.0,1.674751971,0.056790756,1.674751971,0.056790756,0.0,0.0,0.918367347,0.142450142,82.0,17.0,20.0,12.0,686,0.00244132944606414,8.278542274052478e-05,0.00244132944606414,8.278542274052478e-05,0.0,0.0,0.1457725947521866
10512,Morocco vs Portugal,374,Morocco,1810,Youssef En-Nesyri,10512_374,Forward,Center Forward,64,1,702,146,54.92205607,0.241477221,38.60415471,0.185754392,16.31790136,0.055722829,77.23414134,0.339577342,54.28709256,0.261217114,22.94704878,0.078360228,7.82365471,0.034398465,5.499167338,0.02646074,2.324487373,0.007937725,37.61784662,0.165395357,26.44120186,0.127229036,11.17664476,0.038166321,205.3125,20.7977208,82.0,35.0,27.0,31.0,453,12.124074187637968,0.053306229801324496,8.521888456953643,0.04100538454746137,3.6021857306843272,0.012300845253863135,32.22958057395143
10512,Morocco vs Portugal,374,Morocco,1938,Hakim Ziyech,10512_374,Wing,Right Wing,80,1,702,139,71.89407748,0.775431569,43.62159816,0.419423628,28.27247932,0.356007942,80.88083716,0.872360516,49.07429793,0.471851581,31.80653924,0.400508934,10.24132158,0.110460338,6.213902871,0.059746956,4.027418707,0.050713382,51.7223579,0.557864438,31.38244472,0.301743617,20.33991318,0.256120821,156.375,19.8005698,84.0,50.0,44.0,52.0,580,12.3955306,0.13369509810344826,7.5209652,0.07231441862068966,4.8745654,0.06138067965517242,23.96551724137931
10512,Morocco vs Portugal,374,Morocco,4324,Azzedine Ounahi,10512_374,Midfield,Right Center Midfield,98,1,702,219,98.2909133,0.973811482,59.40161361,0.507914126,38.88929969,0.465897356,90.26716527,0.894316667,54.55250229,0.466451748,35.71466298,0.427864918,14.0015546,0.138719584,8.46176832,0.07235244,5.539786281,0.066367145,44.88169557,0.444662777,27.12402448,0.231924258,17.75767109,0.212738519,201.122449,31.1965812,60.0,59.0,58.0,56.0,686,14.328121472303208,0.14195502653061223,8.659127348396503,0.07403996005830903,5.668994123906706,0.0679150664723032,31.924198250728864
10512,Morocco vs Portugal,374,Morocco,9820,Achraf Dari,10512_374,Back,Right Center Back,42,0,702,17,9.306736474,0.1427356,4.70001424,0.079150881,4.606722234,0.063584719,19.94300673,0.305862,10.07145909,0.169609032,9.871547644,0.136252969,1.325745936,0.020332707,0.669517698,0.011275054,0.656228238,0.009057652,54.74550867,0.839621177,27.64714259,0.46559342,27.09836608,0.374027757,36.42857143,2.421652422,,,,,280,3.323834455,0.050977,1.678576514285714,0.028268171785714287,1.645257940714286,0.022708828214285715,6.071428571428571
10512,Morocco vs Portugal,374,Morocco,9865,Zakaria Aboukhlal,10512_374,Wing,Left Wing,18,0,702,32,14.98346658,0.063250951,10.0628474,0.041427819,4.92061918,0.021823131,74.91733289,0.316254753,50.31423699,0.207139096,24.6030959,0.109115657,2.134396948,0.009010107,1.433454045,0.005901399,0.700942903,0.003108708,46.82333306,0.197659221,31.44639812,0.129461935,15.37693494,0.068197285,160.0,4.558404558,69.0,29.0,28.0,20.0,106,14.135345830188678,0.059670708490566035,9.493252264150945,0.039082848113207544,4.642093566037736,0.020587859433962262,30.18867924528302
10512,Morocco vs Portugal,374,Morocco,12586,Sofyan Amrabat,10512_374,Midfield,Center Defensive Midfield,98,1,702,117,52.04087389,0.80529799,27.04856345,0.328725062,24.99231044,0.476572928,47.79263928,0.739559379,24.84051745,0.301890363,22.95212183,0.437669016,7.413229899,0.114714813,3.853071716,0.046826932,3.560158182,0.067887881,44.47937939,0.688288881,23.1184303,0.280961592,21.36094909,0.407327289,107.4489796,16.66666667,76.0,73.0,77.0,74.0,686,7.5861332201166185,0.1173903775510204,3.942939278425656,0.04791910524781341,3.6431939416909622,0.069471272303207,17.05539358600583
