metric,metric_family,node_metric,outcome,kind,min,min_sig,average,average_sig,sum,sum_sig,product,product_sig,r_range_trio,r_range_all,sig_flip_trio,sign_flip_trio
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,goals_against,raw,-0.015960611152749334,,-0.013039867290764375,,-0.013039867333315929,,-0.040414828243201695,,0.002920743861984959,0.02737496095243732,False,False
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,goals_against,partial,0.04472686419548515,,0.05617742057644556,,0.05617742053526203,,0.005199851091349784,,0.01145055638096041,0.05097756948509577,False,False
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,shots_against,raw,0.017620230700503683,,0.01719131489584163,,0.017191314837199632,,0.02226713335674573,,0.0004289158633040517,0.0050758185195461,False,False
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,shots_against,partial,0.18871864802553523,*,0.21167676147299042,*,0.21167676141763847,*,0.1550848347288928,,0.022958113447455186,0.056591926744097604,False,False
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,xg_against,raw,0.08270750447603537,,0.051548530512816465,,0.05154853041673809,,0.05481813476370195,,0.031158974059297274,0.031158974059297274,False,False
raw_contribution_cc_weighted,Clustering (weighted),raw_contribution,xg_against,partial,0.19261554034734235,*,0.17311934093551123,,0.17311934083733982,,0.1372960047697729,,0.019496199510002532,0.05531953557756944,True,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,goals_against,raw,0.03536679026840368,,0.06382525945591498,,0.06382525943971122,,0.053118897349608035,,0.0284584691875113,0.0284584691875113,False,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,goals_against,partial,0.018593163556968287,,0.04697498582247616,,0.046974985809822865,,0.04406154307440595,,0.028381822265507874,0.028381822265507874,False,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,shots_against,raw,-0.05251218844395727,,-0.05527404282634841,,-0.05527404279452887,,-0.07130103687534792,,0.0027618543823911407,0.01878884843139065,False,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,shots_against,partial,-0.10633483265904338,,-0.1113462127651587,,-0.1113462127184161,,-0.10671689776582771,,0.005011380106115321,0.005011380106115321,False,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,xg_against,raw,-0.07061671882027859,,-0.06678306776094037,,-0.06678306774252905,,-0.09106800653050394,,0.0038336510777495364,0.024284938787974886,False,False
raw_contribution_centralization_weighted,Freeman Centralization (weighted),raw_contribution,xg_against,partial,-0.10272265552057801,,-0.09987693686288843,,-0.09987693683680365,,-0.11153615679838348,,0.0028457186837743537,0.011659219961579828,False,False
valued_involvement,Total Strength,valued_involvement,goals_against,raw,0.15632323618472177,,0.16147579506296322,,0.16147579525089206,,0.04256455052712334,,0.0051525590661702925,0.11891124472376872,False,False
valued_involvement,Total Strength,valued_involvement,goals_against,partial,0.06698729396268265,,0.07027490465456324,,0.0702749048562907,,0.017710417852689227,,0.003287610893608059,0.05256448700360147,False,False
valued_involvement,Total Strength,valued_involvement,shots_against,raw,0.5510496055289044,***,0.5608196384024716,***,0.5608196382179308,***,0.3001929517888832,***,0.009770032873567258,0.2606266866135884,False,False
valued_involvement,Total Strength,valued_involvement,shots_against,partial,0.4051320624441978,***,0.41383034320443934,***,0.4138303428972766,***,0.2673312267358012,**,0.008698280760241539,0.14649911646863817,False,False
valued_involvement,Total Strength,valued_involvement,xg_against,raw,0.3764569696378275,***,0.39279262752304683,***,0.3927926273681587,***,0.16522121466370435,,0.016335657885219346,0.2275714128593425,False,False
valued_involvement,Total Strength,valued_involvement,xg_against,partial,0.27143534713526996,**,0.29017523757626495,***,0.29017523735252465,***,0.13149498337931365,,0.018739890440995,0.1586802541969513,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,goals_against,raw,0.07938827384636257,,0.07150406499399176,,0.07150406485476604,,0.11452981410346308,,0.00788420899159653,0.04302574924869704,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,goals_against,partial,0.0784892101530543,,0.0656503816910263,,0.06565038119651082,,0.12452927784698335,,0.01283882895654348,0.05887889665047254,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,shots_against,raw,0.059157799403770674,,0.046904778381742666,,0.04690477937872495,,0.08593873589630369,,0.012253021022028007,0.03903395751456102,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,shots_against,partial,0.0599583992615354,,0.033103281579587224,,0.03310328172182821,,0.11763091687414085,,0.026855117681948176,0.08452763529455362,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,xg_against,raw,0.030660304454900006,,0.027145194517735456,,0.027145194794567968,,0.0801759170925786,,0.0035151099371645497,0.05303072257484314,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,xg_against,partial,0.02838602550477934,,0.016743743668702713,,0.016743743371996054,,0.0968705849769395,,0.011642282132783285,0.08012684160494345,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,goals_against,raw,-0.050606914698562454,,-0.056035497762313854,,-0.05603551067931251,,-0.13790711310599488,,0.005428595980750059,0.08730019840743242,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,goals_against,partial,-0.06252726819459635,,-0.05314740647737591,,-0.05314745041484024,,-0.1526802548741655,,0.009379861717220439,0.0995328483967896,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,shots_against,raw,0.05304242727758829,,0.039540021480298414,,0.03954011602925261,,-0.04373344278861342,,0.013502405797289875,0.09677587006620171,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,shots_against,partial,0.029331722344885094,,0.054408749676406014,,0.054408770681893204,,-0.08199929010230864,,0.02507704833700811,0.13640806078420184,False,False
