match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
10515,363,home,3870,Kylian Mbappé,229,4.927751092,13.04378603,61,1.965655738,15.51837705,22,1.977136364,12.46540909,39,1.959179487,17.2405641,60,2.043666667,15.38341667,22,1.977136364,12.46540909,38,2.082184211,17.07278947
10515,363,home,3888,Aurélien Tchouaméni,229,-9.896855895,-2.155829694,56,-9.297839286,-0.664392857,31,-11.8023871,-0.740774194,25,-6.1922,-0.56968,56,-9.297839286,-0.664392857,31,-11.8023871,-0.740774194,25,-6.1922,-0.56968
10515,363,home,3890,Youssouf Fofana,229,-8.005537118,8.764026201,54,-11.96398148,16.7862963,23,-12.42965217,17.71304348,31,-11.61848387,16.09870968,54,-11.96398148,16.7862963,23,-12.42965217,17.71304348,31,-11.61848387,16.09870968
10515,363,home,4194,Randal Kolo Muani,45,-4.392844444,-12.66904444,10,-6.5981,-20.5764,5,-8.7176,-23.308,5,-4.4786,-17.8448,10,-6.5981,-20.5764,5,-8.7176,-23.308,5,-4.4786,-17.8448
10515,363,home,4712,Marcus Thuram,74,-4.313108108,19.58297297,15,-6.114933333,25.15786667,7,-6.734,21.84128571,8,-5.57325,28.059875,15,-6.114933333,25.15786667,7,-6.734,21.84128571,8,-5.57325,28.059875
10515,363,home,5097,Ibrahima Konaté,229,-18.75426638,6.635502183,16,-19.102125,15.2755625,10,-18.631,13.5947,6,-19.88733333,18.077,16,-19.102125,15.2755625,10,-18.631,13.5947,6,-19.88733333,18.077
10515,363,home,61,Hugo Lloris,229,-40.20429258,0.309004367,2,-41.6535,-2.2485,2,-41.6535,-2.2485,,,,2,-41.6535,-2.2485,2,-41.6535,-2.2485,,,
10515,363,home,8583,Theo Hernandez,229,-14.46168122,18.63231004,33,-20.85075758,26.685,13,-25.73292308,26.11984615,20,-17.67735,27.05235,32,-21.2163125,26.609125,13,-25.73292308,26.11984615,19,-18.126,26.94389474
10515,374,away,12586,Sofyan Amrabat,172,4.849348837,2.155284884,52,2.133173077,0.102423077,16,1.580125,0.1816875,36,2.378972222,0.067194444,50,1.52112,-0.04746,16,1.580125,0.1816875,34,1.493352941,-0.155294118
10515,374,away,13021,Abde Ezzalzouli,35,-5.0998,-14.284,7,-10.93985714,-22.30771429,1,11.153,-21.514,6,-14.622,-22.44,7,-10.93985714,-22.30771429,1,11.153,-21.514,6,-14.622,-22.44
10515,374,away,13044,Jawad El Yamiq,172,8.19672093,-6.39525,42,2.346571429,-11.38083333,21,0.249714286,-7.904666667,21,4.443428571,-14.857,42,2.346571429,-11.38083333,21,0.249714286,-7.904666667,21,4.443428571,-14.857
10515,374,away,13864,Yahia Attiat-Allah,89,6.653101124,-17.25810112,19,2.162947368,-24.87952632,5,6.8748,-26.8438,14,0.480142857,-24.178,19,2.162947368,-24.87952632,5,6.8748,-26.8438,14,0.480142857,-24.178
10515,374,away,13866,Selim Amallah,95,-1.452831579,-5.739368421,33,2.072060606,-10.78778788,16,1.9165625,-6.6055625,17,2.218411765,-14.724,33,2.072060606,-10.78778788,16,1.9165625,-6.6055625,17,2.218411765,-14.724
10515,374,away,13870,Abderrazak Hamdallah,56,-14.22189286,2.928160714,19,-11.52131579,4.072368421,8,-11.93375,1.9945,11,-11.22136364,5.583545455,18,-12.56155556,3.930388889,8,-11.93375,1.9945,10,-13.0638,5.4791
10515,374,away,1681,Achraf Hakimi,172,8.577947674,16.78349419,30,9.555566667,18.66013333,13,17.03976923,16.91415385,17,3.832352941,19.99529412,30,9.555566667,18.66013333,13,17.03976923,16.91415385,17,3.832352941,19.99529412
10515,374,away,1785,Bono,172,37.13835465,-0.57472093,1,49.518,3.588,,,,1,49.518,3.588,1,49.518,3.588,,,,1,49.518,3.588
10515,374,away,1810,Youssef En-Nesyri,116,-8.434801724,-5.993913793,29,-8.728275862,-9.373206897,8,-6.608125,-10.91625,21,-9.535952381,-8.785380952,29,-8.728275862,-9.373206897,8,-6.608125,-10.91625,21,-9.535952381,-8.785380952
