player_name,team,mins_played
Anis Ben Slimane,Tunisia,148
Daniel Carvajal Ramos,Spain,147
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,146
Henry Josué Martín Mex,Mexico,146
Jordan Ayew,Ghana,146
Fabian Lukas Schär,Switzerland,145
Nemanja Maksimović,Serbia,145
Alejandro Balde Martínez,Spain,145
César Azpilicueta Tanco,Spain,143
Iliman Ndiaye,Senegal,142
Cyle Larin,Canada,142
Edinson Roberto Cavani Gómez,Uruguay,141
Antony Matheus dos Santos,Brazil,139
Ricardo Jorge Luz Horta,Portugal,138
Brenden Aaronson,United States,137
Wajdi Kechrida,Tunisia,136
Sebastian Szymański,Poland,134
Pierre Kunde Malong,Cameroon,134
Keanu Baccus,Australia,133
Gabriel Teodoro Martinelli Silva,Brazil,133
Andreas Skov Olsen,Denmark,132
Mohamed Dräger,Tunisia,132
Vitor Machado Ferreira,Portugal,132
Anthony Daniel Contreras Enríquez,Costa Rica,132
Daniel Alves da Silva,Brazil,131
Jonathan Osorio,Canada,131
Sang-Ho Na,South Korea,129
Kasper Dolberg,Denmark,127
Naïm Sliti,Tunisia,127
Eden Hazard,Belgium,127
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,126
Rafael Alexandre Conceição Leão,Portugal,126
Leroy Sané,Germany,126
Gonzalo Ariel Montiel,Argentina,125
Marcos Llorente Moreno,Spain,125
Stephen Antunes Eustáquio,Canada,125
Hee-Chan Hwang,South Korea,124
Ui-Jo Hwang,South Korea,124
Borna Barišić,Croatia,124
Hiroki Sakai,Japan,124
Gleison Bremer Silva Nascimento,Brazil,122
Pape Abou Cissé,Senegal,122
Ismael Koné,Canada,122
Martin Hongla Yma II,Cameroon,121
Jewison Bennette,Costa Rica,119
Ali Karimi,Iran,119
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,118
Alireza Safar Beiranvand,Iran,118
Brennan Johnson,Wales,117
Arkadiusz Milik,Poland,116
Yannick Ferreira Carrasco,Belgium,116
Axel Disasi,France,115
Kai Havertz,Germany,113
Leandro Trossard,Belgium,113
Jack Grealish,England,112
Samuel Yves Oum Gwet,Cameroon,112
Tariq Lamptey,Ghana,112
Martin Braithwaite Christensen,Denmark,110
Danny Ward,Wales,110
Thorgan Hazard,Belgium,109
Amadou Onana,Belgium,109
Alexander Djiku,Ghana,109
Jackson Gabriel Porozo Vernaza,Ecuador,108
Alejandro Darío Gómez,Argentina,107
Nico Schlotterbeck,Germany,107
Joe Allen,Wales,106
Sam Adekugbe,Canada,106
Andreas Evald Cornelius,Denmark,105
Gabriel Fernando de Jesus,Brazil,105
Kyung-Won Kwon,South Korea,105
Carlos Soler Barragán,Spain,105
Matthijs de Ligt,Netherlands,104
Brandon Aguilera Zamora,Costa Rica,104
Youri Tielemans,Belgium,103
Sadegh Moharrami,Iran,103
Nemanja Gudelj,Serbia,102
Ali Maâloul,Tunisia,102
Nader Ghandri,Tunisia,102
Jeremy Leonel Sarmiento Morante,Ecuador,102
Steve Mandanda,France,102
Gregor Kobel,Switzerland,100
Fran Karačić,Australia,100
Ederson Santana de Moraes,Brazil,100
Fábio Henrique Tavares,Brazil,100
Zakaria Aboukhlal,Morocco,100
Enzo Ebosse,Cameroon,100
Nicolas Moumi Ngamaleu,Cameroon,100
Christopher Wooh,Cameroon,100
Juan Pablo Vargas Campos,Costa Rica,100
Danilo Luís Hélio Pereira,Portugal,100
Cameron Carter-Vickers,United States,99
Yasir Gharsan Al Shahrani,Saudi Arabia,98
Victor Nelsson,Denmark,97
José Martín Cáceres Silva,Uruguay,97
Carlos Uriel Antuna Romero,Mexico,97
Pau Francisco Torres,Spain,97
Lucas Hernández Pi,France,97
Mehdi Torabi,Iran,97
Famara Diedhiou,Senegal,96
António João Pereira Albuquerque Tavares Silva,Portugal,96
Néstor Alejandro Araújo Razo,Mexico,96
Josip Šutalo,Croatia,96
Josip Stanišić,Croatia,96
André Onana,Cameroon,96
Munir Mohand Mohamedi,Morocco,95
Saad Abdullah Al Sheeb,Qatar,95
Bassam Hisham Al Rawi,Qatar,95
João Mário Naval da Costa Eduardo,Portugal,94
Niclas Füllkrug,Germany,93
Mathias Jensen,Denmark,92
Vincent Janssen,Netherlands,92
Takefusa Kubo,Japan,90
Wahbi Khazri,Tunisia,89
Nawaf Shaker Al Abid,Saudi Arabia,89
Jun-Ho Son,South Korea,88
Abderrazak Hamdallah,Morocco,88
Benjamin Pavard,France,88
Haris Seferović,Switzerland,87
Gideon Mensah,Ghana,87
Dušan Vlahović,Serbia,86
Wout Weghorst,Netherlands,86
Nathaniel Atkinson,Australia,84
Bruno Guimarães Rodriguez Moura,Brazil,84
Nemanja Radonjić,Serbia,83
Matheus Luiz Nunes,Portugal,82
Ajdin Hrustic,Australia,81
Yuki Soma,Japan,81
Lukas Klostermann,Germany,81
Dries Mertens,Belgium,81
Osman Bukari,Ghana,80
Raúl Alonso Jiménez Rodríguez,Mexico,79
Ante Budimir,Croatia,79
Mattéo Guendouzi Olié,France,78
Mohammed Muntari,Qatar,78
Takumi Minamino,Japan,78
Kamaldeen Sulemana,Ghana,78
Kevin Nahin Álvarez Campos,Mexico,77
Orbelín Pineda Alvarado,Mexico,76
Fabian Rieder,Switzerland,74
Jamie MacLaren,Australia,74
Romario Andrés Ibarra Mina,Ecuador,74
Nicola Zalewski,Poland,74
Denis Lemi Zakaria Lako Lado,Switzerland,73
Mohamed Ali Ben Romdhane,Tunisia,73
Cheikhou Kouyaté,Senegal,73
Badr Banoun,Morocco,73
Johan Alberto Venegas Ulloa,Costa Rica,73
Alireza Jahanbakhsh,Iran,72
José Adoni Cifuentes Charcopa,Ecuador,71
Roozbeh Cheshmi,Iran,70
Pape Matar Sarr,Senegal,69
Thilo Kehrer,Germany,69
Mohammed Al Burayk,Saudi Arabia,69
Exequiel Alejandro Palacios,Argentina,68
Filip Mladenović,Serbia,65
Callum Wilson,England,65
Jorge Resurrección Merodio,Spain,65
Alex Nicolao Telles,Brazil,64
Gerson Torres Barrantes,Costa Rica,64
Simon Thorup Kjær,Denmark,63
Luuk de Jong,Netherlands,63
João Maria Lobo Alves Palhinha Gonçalves,Portugal,63
Giovanni Reyna,United States,63
Youstin Delfin Salas Gómez,Costa Rica,63
Romelu Lukaku Menama,Belgium,63
Jordan Veretout,France,62
Ferjani Sassi,Tunisia,61
Riyadh Sharahili,Saudi Arabia,61
Miki Yamane,Japan,61
Kellyn Kai Perry-Acosta,United States,61
Daniel-Kofi Kyereh,Ghana,60
Noah Okafor,Switzerland,59
Mark Anthony Kaye,Canada,59
Anssumane Fati,Spain,58
Gaël Ondoua,Cameroon,58
Karim Ansarifard,Iran,58
Mohammad Hossein Kanani Zadegan,Iran,58
Alexander Hartmann Bah,Denmark,57
Pedro Guilherme Abreu dos Santos,Brazil,57
Eray Ervin Cömert,Switzerland,56
Guido Rodríguez,Argentina,56
Chang-Hoon Kwon,South Korea,56
Érick Gabriel Gutiérrez Galaviz,Mexico,56
Diego Nicolás De La Cruz Arcosa,Uruguay,55
Abdessamad Ezzalzouli,Morocco,55
Bilal El Khannous,Morocco,55
Mario Götze,Germany,55
Saman Ghoddos,Iran,54
Abdullah Mohammed Madu,Saudi Arabia,52
Garang Kuol,Australia,51
Alan Steven Franco Palma,Ecuador,51
Ilias Chair,Morocco,51
Michał Skóraś,Poland,51
Eric Dier,England,51
Hiroki Ito,Japan,51
Maximiliano Gómez González,Uruguay,50
Kalvin Phillips,England,50
Abdulrahman Al-Obood,Saudi Arabia,49
Chul Hong,South Korea,48
Carlos Alberto Rodríguez Gómez,Mexico,48
DeAndre Yedlin,United States,48
Salman Mohammed Al Faraj,Saudi Arabia,47
Luka Jović,Serbia,46
Éverton Augusto de Barros Ribeiro,Brazil,46
Carlos Armando Gruezo Arboleda,Ecuador,45
Woo-Yeong Jeong,South Korea,45
Ali Al Hassan,Saudi Arabia,45
Sami Khalil Al Naji,Saudi Arabia,45
Karol Świderski,Poland,45
Ayase Ueda,Japan,45
Jesus Ferreira,United States,45
Carlos Manuel Martínez Castro,Costa Rica,45
Thomas Delaney,Denmark,45
Ronald Alberto Matarrita Ulate,Costa Rica,44
Germán Alejandro Pezzella,Argentina,43
Jonas Hofmann,Germany,43
Jason Cummings,Australia,42
Joseff Morrell,Wales,42
Stefan Mitrović,Serbia,41
Ivan Ilić,Serbia,41
Taha Yassine Khenissi,Tunisia,41
Krzysztof Piątek,Poland,41
Nuno Mendes,Portugal,41
Walid Cheddira,Morocco,40
William Saliba,France,40
José Andrés Guardado Hernández,Mexico,40
Georges-Kévin Nkoudou Mbida,Cameroon,39
Mohammed Waed Abdulwahhab Al Bayati,Qatar,38
Trent Alexander-Arnold,England,38
Bryan Ruiz González,Costa Rica,38
Álvaro José Zamora Mata,Costa Rica,38
Antoine Semenyo,Ghana,38
Renato Steffen,Switzerland,37
Awer Mabil,Australia,37
Fabian Frei,Switzerland,36
Damian Szymański,Poland,35
Shaquell Moore,United States,35
Matías Nicolás Viña Susperreguy,Uruguay,34
Djorkaeff Neicer Reasco González,Ecuador,33
Anass Zaroury,Morocco,33
Ali Assadalla Thaimn Qambar,Qatar,33
Jules Olivier Ntcham,Cameroon,33
Darko Lazović,Serbia,32
André Miguel Valente Silva,Portugal,32
Christian Mougang Bassogog,Cameroon,30
Filip Đuričić,Serbia,29
Ghilane Chalali,Tunisia,29
Seung-Ho Paik,South Korea,29
Robert Skov,Denmark,28
Abolfazl Jalali,Iran,28
Paulo Bruno Exequiel Dybala,Argentina,27
Nicolas Jackson,Senegal,27
Yahya Jabrane,Morocco,27
Roberto Carlos Alvarado Hernández,Mexico,24
Artur Jędrzejczyk,Poland,24
Lucas Daniel Cavallini,Canada,24
Bailey Wright,Australia,23
Denis Odoi,Ghana,23
Jeremy Doku,Belgium,22
Michel Aebischer,Switzerland,21
Agustín Canobbio Graviz,Uruguay,21
Charles De Ketelaere,Belgium,21
Srđan Babić,Serbia,19
Christian Fassnacht,Switzerland,18
Marko Grujić,Serbia,18
Hannibal Mejbri,Tunisia,18
Jordan Morris,United States,18
Ikoma Loïs Openda,Belgium,18
David Wotherspoon,Canada,18
Jerome Ngom Mbekeli,Cameroon,16
Noa Lang,Netherlands,15
Haitham Mohammed Asiri,Saudi Arabia,15
Liam Millar,Canada,15
Thiago Ezequiel Almada,Argentina,14
Weverton Pereira da Silva,Brazil,14
Xavi Simons,Netherlands,14
Tarek Salman Salman,Qatar,14
Rubin Colwill,Wales,14
Christian Nørgaard,Denmark,13
Kevin José Rodríguez Cortez,Ecuador,13
Hattan Babhir,Saudi Arabia,13
Jan Bednarek,Poland,13
Kamil Grosicki,Poland,13
Nasser Al Dawsari,Saudi Arabia,12
Rogelio Gabriel Funes Mori,Mexico,12
Ahmed Alaa Eldin Abdelmotaal,Qatar,12
Mosaab Khoder Jibril,Qatar,12
Fodé Ballo Touré,Senegal,11
Kenneth Taylor,Netherlands,11
Ángel Martín Correa,Argentina,10
Juan Marcos Foyth,Argentina,10
Youssoufa Moukoko,Germany,9
Pablo Sarabia García,Spain,8
Roan Roberto Wilson Gordon,Costa Rica,8
Sorba Thomas,Wales,8
Matthias Ginter,Germany,7
Ardon Jashari,Switzerland,6
Yu-Min Cho,South Korea,4
Abdul Fatawu Issahaku,Ghana,3
Kristijan Jakić,Croatia,2
Daniel Alonso Chacón Salas,Costa Rica,2
Jonas Omlin,Switzerland,0
Marko Dmitrović,Serbia,0
Predrag Rajković,Serbia,0
Uroš Račić,Serbia,0
Strahinja Eraković,Serbia,0
Franco Armani,Argentina,0
Gerónimo Rulli,Argentina,0
Danny Vuković,Australia,0
Thomas Deng,Australia,0
Joel King,Australia,0
Cameron Peter Devlin,Australia,0
Andrew Redmayne,Australia,0
Marco Tilio,Australia,0
Jens Stryger Larsen,Denmark,0
Yussuf Yurary Poulsen,Denmark,0
Daniel Wass,Denmark,0
Frederik Rønnow,Denmark,0
Jonas Older Wind,Denmark,0
Oliver Christensen,Denmark,0
Mouez Hassen,Tunisia,0
Aymen Mathlouthi,Tunisia,0
Seifeddine Jaziri,Tunisia,0
Bechir Ben Said,Tunisia,0
Bilel Ifa,Tunisia,0
Alfred Benjamin Gomis,Senegal,0
Mamadou Loum N''Diaye,Senegal,0
Timothy Dieng,Senegal,0
Moustapha Name,Senegal,0
Formose Mendy,Senegal,0
Moussa N''Diaye,Senegal,0
Diego José Palacios Espinoza,Ecuador,0
Xavier Ricardo Arreaga Bermello,Ecuador,0
Robert Abel Arboleda Escobar,Ecuador,0
Ángel Israel Mena Delgado,Ecuador,0
Alexander Domínguez Carabalí,Ecuador,0
Eduar Ayrton Preciado García,Ecuador,0
Wellington Moisés Ramírez Preciado,Ecuador,0
William Joel Pacho Tenorio,Ecuador,0
Stefan de Vrij,Netherlands,0
Remko Pasveer,Netherlands,0
Tyrell Malacia,Netherlands,0
Justin Bijlow,Netherlands,0
Jeremie Frimpong,Netherlands,0
Hyeon-Woo Jo,South Korea,0
Bum-Keun Song,South Korea,0
Tae-Hwan Kim,South Korea,0
Min-Kyu Song,South Korea,0
Jong-Gyu Yoon,South Korea,0
Lucas Torreira Di Pascua,Uruguay,0
Néstor Fernando Muslera Micol,Uruguay,0
Carlos Sebastián Sosa Silva,Uruguay,0
José Luis Rodríguez Bebanz,Uruguay,0
Manuel Ugarte Ribeiro,Uruguay,0
Facundo Daniel Torres Pérez,Uruguay,0
Rui Pedro dos Santos Patrício,Portugal,0
José Pedro Malheiro de Sá,Portugal,0
Ahmed Reda Tagnaouti,Morocco,0
Alphonse Areola,France,0
Abdullah Ibrahim Otayf,Saudi Arabia,0
Mohammed Al Rubaie Al Yami,Saudi Arabia,0
Nawaf Alaqidi,Saudi Arabia,0
Johan Felipe Vásquez Ibarra,Mexico,0
Luis Francisco Romo Barrón,Mexico,0
