match_id,defender_id,defender_name,passes_against_on_field
3853,1289,Mark-Anthony Kaye,306
3853,13044,Jawad El Yamiq,106
3853,13866,Selim Amallah,155
3853,13868,Yahya Jabrane,57
3853,13870,Abderrazak Hamdallah,106
3853,14031,Milan Borjan,394
3853,14032,David Wotherspoon,40
3853,1681,Achraf Hakimi,478
3853,1785,Bono,535
3853,1810,Youssef En-Nesyri,535
3853,1938,Hakim Ziyech,429
3853,233,Romain Saïss,535
3853,3965,Jonathan David,88
3853,4002,Nayef Aguerd,535
3853,401,Sofiane Boufal,380
3853,4324,Azzedine Ounahi,429
3853,4611,Alphonso Davies,394
3853,5173,Ismael Kone,88
3853,6916,Junior Hoilett,354
3853,8027,Noussair Mazraoui,535
3853,8627,Atiba Hutchinson,88
3853,9094,Cyle Larin,306
3853,926,Alistair Johnston,394
3853,963,Tajon Buchanan,394
3853,9865,Zakaria Aboukhlal,155
3852,100,Mateo Kovacic,596
3852,11994,Dries Mertens,294
3852,13854,Dominik Livakovic,612
3852,13858,Josip Juranovic,612
3852,13860,Marko Livaja,438
3852,13861,Bruno Petkovic,174
3852,1387,Yannick Carrasco,470
3852,1672,Thibaut Courtois,585
3852,1687,Luka Modric,612
3852,1694,Eden Hazard,29
3852,1960,Timothy Castagne,585
3852,215,Youri Tielemans,115
3852,22,Kevin De Bruyne,585
3852,241,Leander Dendoncker,470
3852,40,Dejan Lovren,612
3852,4021,Jérémy Doku,115
3852,455,Leandro Trossard,391
3852,4669,Thomas Meunier,556
3852,4674,Axel Witsel,585
3852,4684,Thorgan Hazard,194
3852,4883,Andrej Kramaric,438
3852,4892,Josko Gvardiol,612
3852,4926,Borna Sosa,612
3852,5139,Romelu Lukaku,291
3852,5968,Lovro Majer,16
3852,66,Toby Alderweireld,585
3852,67,Jan Vertonghen,585
3852,8129,Marcelo Brozovic,612
3852,8136,Ivan Perisic,612
3852,8330,Mario Pasalic,174
3851,13987,Mohammed Al-Owais,450
3851,13992,Ali Al-Bulayhi,193
3851,13993,Sultan Al-Ghannam,418
3851,13994,Saud Abdulhamid,450
3851,13995,Abdulelah Al-Amri,450
3851,13996,Hassan Tambakti,450
3851,13997,Abdullah Madu,184
3851,13998,Salem Al-Dawsari,450
3851,14002,Hattan Bahebri,32
3851,14003,Mohamed Kanno,450
3851,14006,Ali Al-Hassan,266
3851,14008,Riad Sharahili,257
3851,14009,Abdulrahman Al-Oboud,136
3851,14010,Firas Al-Buraikan,450
3851,14011,Saleh Al-Shehri,314
3851,2106,Edson Alvarez,270
3851,2108,Uriel Antuna,163
3851,2111,Hirving Lozano,300
3851,252,Raúl Jiménez,63
3851,3299,César Montes,300
3851,3301,Héctor Moreno,300
3851,3303,Jesús Gallardo,300
3851,3309,Carlos Rodríguez,63
3851,3314,Rogelio Funes Mori,30
3851,3343,Guillermo Ochoa,300
3851,3352,Jorge Sánchez,270
3851,3367,Henry Martín,237
3851,3387,Orbelín Pineda,237
3851,3414,Alexis Vega,137
3851,3452,Kevin Álvarez,30
3851,3455,Luis Chávez,300
3850,10715,Julian Alvarez,294
3850,11,Nicolás Otamendi,329
3850,11856,Enzo Fernandez,294
3850,12514,Piotr Zielinski,876
3850,12766,Bartosz Bereszynski,575
3850,12820,Jakub Kiwior,876
3850,13222,Nahuel Molina,329
3850,13226,German Pezzella,35
3850,13848,Kamil Glik,876
3850,13849,Artur Jedrzejczyk,301
3850,13850,Grzegorz Krychowiak,721
3850,13851,Michal Skoras,553
3850,13852,Damian Szymanski,433
3850,144,Emiliano Martínez,329
3850,1531,Lionel Messi,329
3850,1896,Matty Cash,876
3850,3856,Leandro Paredes,99
3850,3868,Ángel Di María,230
3850,453,Alexis Mac Allister,294
3850,4625,Robert Lewandowski,876
3850,4851,Krzysztof Piatek,155
3850,5116,Cristian Romero,329
3850,668,Przemyslaw Frankowski,323
3850,6895,Rodrigo de Paul,329
3850,7419,Krystian Bielik,443
3850,7535,Karol Swiderski,323
3850,7757,Thiago Almada,35
3850,8025,Nicolas Tagliafico,99
3850,8042,Wojciech Szczesny,876
3850,8138,Lautaro Martinez,35
3850,9178,Marcos Acuña,230
3850,9939,Jakub Kaminski,553
3849,10756,Jordan Veretout,281
3849,12862,Wajdi Kechrida,633
3849,14013,Aymen Dahmen,633
3849,14017,Ali Maaloul,633
3849,14018,Nader Ghandri,633
3849,14019,Yassine Meriah,633
3849,14021,Ghaylen Chaaleli,217
3849,14022,Aissa Laidouni,633
3849,14023,Mohamed Ali Ben Romdhane,416
3849,14028,Issam Jebali,315
3849,14030,Anis Slimane,502
3849,1532,Ousmane Dembele,29
3849,1534,Antoine Griezmann,38
3849,158,Mattéo Guendouzi,308
3849,1675,Raphael Varane,281
3849,1895,William Saliba,56
3849,3870,Kylian Mbappé,56
3849,3878,Axel Disasi,337
3849,3888,Aurélien Tchouaméni,337
3849,3890,Youssouf Fofana,299
3849,3968,Steve Mandanda,337
3849,4012,Eduardo Camavinga,337
3849,4105,Wahbi Khazri,318
3849,4194,Randal Kolo Muani,337
