control,kind,metric,zone,outcome,r,p_perm,p_WY,p_WY_216
ctrl FIFA,valued,inv,mid,goals_against,-0.18689232379128165,0.2994350282485876,0.9640517974101295,0.9985000749962502
ctrl FIFA,valued,inv,mid,shots_against,-0.2335176346273653,0.1960401979901005,0.8999550022498876,0.9848007599620019
ctrl FIFA,valued,inv,mid,xg_against,-0.2685404827312207,0.1375431228438578,0.831858407079646,0.9629518524073797
ctrl FIFA,valued,inv,high_press,goals_against,-0.19361027313371518,0.2912854357282136,0.9637018149092546,0.9982000899955003
ctrl FIFA,valued,inv,high_press,shots_against,-0.5661630735317661,0.0006999650017499125,0.028948552572371382,0.052047397630118494
ctrl FIFA,valued,inv,high_press,xg_against,-0.25114636052305145,0.17239138043097846,0.8761061946902655,0.9802009899505024
ctrl FIFA,valued,con,own,goals_against,0.24716725530317812,0.17319134043297835,0.8769561521923904,0.9802009899505024
ctrl FIFA,valued,con,own,shots_against,0.48312099854390816,0.005699715014249288,0.14359282035898205,0.24683765811709416
ctrl FIFA,valued,con,own,xg_against,0.32738262126964174,0.06914654267286635,0.6510674466276686,0.8545572721363932
ctrl FIFA,valued,con,mid,goals_against,-0.2330714400257924,0.19979001049947503,0.9006549672516374,0.9854507274636268
ctrl FIFA,valued,con,mid,shots_against,-0.37268605006667704,0.03744812759362032,0.4912754362281886,0.7030648467576621
ctrl FIFA,valued,con,mid,xg_against,-0.29057409710912446,0.1071446427678616,0.7721113944302785,0.9334033298335084
ctrl FIFA,valued,con,high_press,goals_against,-0.17841829911786108,0.33248337583120846,0.9715014249287536,0.9994000299985001
ctrl FIFA,valued,con,high_press,shots_against,-0.5731702880411905,0.0007999600019999,0.03254837258137093,0.058447077646117694
ctrl FIFA,valued,con,high_press,xg_against,-0.28543580961429826,0.12209389530523473,0.8029098545072746,0.9503524823758812
ctrl FIFA,valued,fault,own,goals_against,0.2600771109877095,0.15339233038348082,0.8502074896255187,0.9729013549322534
ctrl FIFA,valued,fault,own,shots_against,0.5503532982761677,0.001399930003499825,0.04869756512174391,0.08979551022448877
ctrl FIFA,valued,fault,own,xg_against,0.36971753495873455,0.03829808509574521,0.4912754362281886,0.7065146742662867
ctrl FIFA,valued,fault,mid,goals_against,-0.10931011529019334,0.5488725563721814,0.9974501274936253,1.0
ctrl FIFA,valued,fault,mid,shots_against,-0.09827912012329199,0.5939203039848008,0.9984500774961252,1.0
ctrl FIFA,valued,fault,mid,xg_against,-0.17895226764005945,0.3296335183240838,0.9715014249287536,0.9994000299985001
ctrl FIFA,valued,fault,high_press,goals_against,-0.192539403984102,0.2927353632318384,0.9640517974101295,0.9982000899955003
