match_id,defending_team,team_name,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y,match_team_id
10506,57,Japan,home,2095,Daichi Kamada,483,-3.0676459627329193,-10.841890269151138,159.0,-4.630383647798742,-13.189446540880502,56.0,-7.117392857142858,-14.948321428571429,103.0,-3.278223300970874,-12.23316504854369,154.0,-4.198746753246753,-12.957396103896105,56.0,-7.117392857142858,-14.948321428571429,98.0,-2.530948979591837,-11.819724489795918,10506_57
10506,57,Japan,home,2099,Takuma Asano,339,7.556498525073746,0.20023303834808262,64.0,4.772046875,0.923515625,18.0,2.117333333333333,2.9306111111111113,46.0,5.810847826086956,0.13813043478260856,64.0,4.772046875,0.923515625,18.0,2.117333333333333,2.9306111111111113,46.0,5.810847826086956,0.13813043478260856,10506_57
10506,57,Japan,home,4928,Wataru Endo,768,-7.646190104166667,5.4233059895833335,187.0,-10.759791443850267,8.68266844919786,70.0,-12.43062857142857,9.741357142857142,117.0,-9.760145299145298,8.049264957264958,184.0,-10.519576086956523,8.76636956521739,70.0,-12.43062857142857,9.741357142857142,114.0,-9.346122807017544,8.16769298245614,10506_57
10506,57,Japan,home,55,Takumi Minamino,225,3.8709288888888893,5.334871111111111,25.0,-5.66524,-4.80812,7.0,-4.530571428571428,-7.1257142857142854,18.0,-6.1065000000000005,-3.9068333333333336,24.0,-4.878374999999999,-4.951791666666667,7.0,-4.530571428571428,-7.1257142857142854,17.0,-5.021588235294118,-4.056647058823529,10506_57
10506,57,Japan,home,8927,Ao Tanaka,98,7.938010204081632,1.9856020408163264,14.0,-2.8200000000000003,-4.072357142857142,10.0,-1.8366,-4.6958,4.0,-5.2785,-2.51375,14.0,-2.8200000000000003,-4.072357142857142,10.0,-1.8366,-4.6958,4.0,-5.2785,-2.51375,10506_57
10506,57,Japan,home,9981,Ritsu Doan,543,-2.0468324125230204,13.718635359116023,159.0,-2.6696100628930814,17.98835220125786,68.0,-4.163205882352941,18.70535294117647,91.0,-1.5535164835164832,17.452571428571428,159.0,-2.6696100628930814,17.98835220125786,68.0,-4.163205882352941,18.70535294117647,91.0,-1.5535164835164832,17.452571428571428,10506_57
10506,371,Croatia,away,100,Mateo Kovacic,462,-0.35010822510822515,7.595958874458875,138.0,-0.1429565217391305,11.478833333333332,47.0,2.8910851063829788,11.997595744680849,91.0,-1.7099890109890108,11.210901098901099,132.0,0.04824999999999995,11.683780303030304,47.0,2.8910851063829788,11.997595744680849,85.0,-1.523670588235294,11.510258823529412,10506_371
10506,371,Croatia,away,13854,Dominik Livakovic,558,40.123655913978496,0.13363082437275986,29.0,33.84427586206897,-0.11241379310344829,15.0,35.34493333333333,-0.5994666666666667,14.0,32.23642857142857,0.40942857142857136,29.0,33.84427586206897,-0.11241379310344829,15.0,35.34493333333333,-0.5994666666666667,14.0,32.23642857142857,0.40942857142857136,10506_371
10506,371,Croatia,away,13857,Borna Barisic,558,12.097175627240144,15.897286738351253,84.0,15.354857142857142,20.035083333333336,34.0,16.654029411764704,20.85164705882353,50.0,14.47142,19.47982,82.0,14.885597560975608,19.916426829268293,34.0,16.654029411764704,20.85164705882353,48.0,13.632958333333333,19.253979166666667,10506_371
10506,371,Croatia,away,13858,Josip Juranovic,558,12.818132616487455,-11.473408602150538,60.0,16.14255,-16.248133333333335,26.0,15.645576923076922,-17.47423076923077,34.0,16.52258823529412,-15.310529411764705,57.0,14.619789473684211,-15.860456140350879,26.0,15.645576923076922,-17.47423076923077,31.0,13.759451612903225,-14.506967741935485,10506_371
10506,371,Croatia,away,13859,Mislav Orsic,72,-15.271902777777777,-1.860666666666667,3.0,2.9136666666666664,5.074000000000001,1.0,24.494,-1.188,2.0,-7.8765,8.205,3.0,2.9136666666666664,5.074000000000001,1.0,24.494,-1.188,2.0,-7.8765,8.205,10506_371
10506,371,Croatia,away,13860,Marko Livaja,72,-13.024902777777777,-15.1655,4.0,4.464,-11.113,1.0,30.004,-0.21,3.0,-4.049333333333333,-14.747333333333332,3.0,7.480666666666667,-9.918666666666667,1.0,30.004,-0.21,2.0,-3.7809999999999997,-14.773,10506_371
10506,371,Croatia,away,13861,Bruno Petkovic,310,-11.495529032258064,2.5276193548387096,109.0,-14.469825688073394,1.7102110091743117,37.0,-15.185486486486488,-0.40213513513513527,72.0,-14.102055555555557,2.7957222222222224,107.0,-14.055242990654206,1.6950841121495326,37.0,-15.185486486486488,-0.40213513513513527,70.0,-13.457828571428571,2.8036142857142856,10506_371
10506,371,Croatia,away,1665,Ante Budimir,176,-4.026869318181818,0.23931250000000004,39.0,-0.19782051282051283,-6.031794871794872,20.0,4.3876,-7.7825500000000005,19.0,-5.024578947368421,-4.188894736842105,39.0,-0.19782051282051283,-6.031794871794872,20.0,4.3876,-7.7825500000000005,19.0,-5.024578947368421,-4.188894736842105,10506_371
