player,Nodes Degree_xt,Closeness_xt,Pagerank_xt,Betweenness_xt,Nodes Degree_base,Closeness_base,Pagerank_base,Betweenness_base,match_id,team,player_match_id,Sofascore Rating
Bruno Miguel Borges Fernandes,7.84274286,0.132674408,0.046945329,0.020430108,67,0.916348827,0.042144836,0.003225806,3869254,Portugal,Bruno Fernandes_3869254,8.1
Jules Koundé,7.841863492,0.127687467,0.046343094,0.028409091,99,1.117729612,0.051999686,0.077651515,3869685,France,Jules Koundé_3869685,6.3
Adrien Rabiot,7.833341966,0.129171337,0.048392095,0.011363636,82,1.055908551,0.046741181,0.016414141,3869685,France,Adrien Rabiot_3869685,7
Nikola Milenković,7.831946882,0.131120781,0.060494643,0.029885057,103,1.349325337,0.065260525,0.059770115,3857256,Serbia,Nikola Milenković_3857256,6.9
Lionel Andrés Messi Cuccittini,7.814230495,0.124346164,0.040282138,0.02688172,135,2.427757792,0.043651934,0.010752688,3857264,Argentina,Lionel Messi_3857264,8.2
Nicolás Hernán Otamendi,7.810552454,0.129079623,0.03948706,0.012903226,174,2.484632717,0.048299473,0.059677419,3857264,Argentina,Nicolás Otamendi_3857264,7.3
Jurriën David Norman Timber,7.792114887,0.117397952,0.041402467,0.015053763,207,2.019866828,0.064380086,0.088172043,3857294,Netherlands,Jurriën Timber_3857294,7.8
Kevin De Bruyne,7.781152512,0.123619091,0.048094016,0.031034483,62,1.268381067,0.041356303,0.020498084,3857268,Belgium,Kevin De Bruyne_3857268,7.5
Strahinja Pavlović,7.774212837,0.119693476,0.049575271,0.022988506,131,1.469223136,0.074438785,0.112643678,3857256,Serbia,Strahinja Pavlović_3857256,6.1
Jordan Brian Henderson,7.773592225,0.125186873,0.040960846,0.012903226,102,1.52878793,0.044535887,0.002150538,3857261,England,Jordan Henderson_3857261,7.3
Bernardo Mota Veiga de Carvalho e Silva,7.768902985,0.127956782,0.046917484,0.027093596,172,1.897091461,0.070912272,0.073891626,3869486,Portugal,Bernardo Silva_3869486,6.9
Wataru Endo,7.760691994,0.116025588,0.044844794,0.021169355,111,1.443717917,0.057542921,0.056451613,3869219,Japan,Wataru Endo_3869219,8.2
Kamal Miller,7.760282697,0.107386044,0.034969788,0.005376344,121,1.444266526,0.058950052,0.084265233,3857281,Canada,Kamal Miller_3857281,6.8
Granit Xhaka,7.754202122,0.115976196,0.045305588,0.035632184,97,1.399361128,0.057303826,0.068390805,3857256,Switzerland,Granit Xhaka_3857256,7.1
Gavi,7.745921968,0.146240817,0.050017469,0.029032258,141,2.493086668,0.038851268,0.015053763,3857291,Spain,Gavi_3857291,7.5
Thomas Meunier,7.740246747,0.1425086,0.048423265,0.018472906,110,1.311644597,0.050599646,0.041871921,3857296,Belgium,Thomas Meunier_3857296,7.5
Pepe,7.718908917,0.124808377,0.047362353,0.019704433,183,1.930064035,0.071327634,0.087438424,3869486,Portugal,Pepe_3869486,6.7
Kevin De Bruyne,7.710292647,0.13369346,0.050771518,0.04516129,97,1.471793375,0.047924062,0.058602151,3857283,Belgium,Kevin De Bruyne_3857283,6.6
Declan Rice,7.685988072,0.11155559,0.03912454,0.004032258,175,1.94199268,0.052455371,0.019657258,3857271,England,Declan Rice_3857271,7
Bruno Miguel Borges Fernandes,7.685547249,0.132266055,0.048176234,0.030788177,110,1.783029062,0.047181301,0.047413793,3869486,Portugal,Bruno Fernandes_3869486,8.2
Alistair Johnston,7.684711003,0.114224927,0.036534329,0.008602151,94,1.392911627,0.047828717,0.039426523,3857281,Canada,Alistair Johnston_3857281,6.1
Pepe,7.682432678,0.123237419,0.041393027,0.012903226,89,1.113435699,0.053258417,0.029032258,3869254,Portugal,Pepe_3869254,7.4
Ellyes Joris Skhiri,7.66564256,0.115977022,0.038899956,0.022988506,90,1.115447154,0.043970394,0.042528736,3857288,Tunisia,Ellyes Skhiri_3857288,7
Thomas Teye Partey,7.660648576,0.116903124,0.048704587,0.022580645,124,1.21577968,0.071462407,0.073655914,3857293,Ghana,Thomas Partey_3857293,6.7
César Azpilicueta Tanco,7.65579554,0.127012628,0.045098945,0.017204301,187,2.835928767,0.045974441,0.050537634,3857291,Spain,César Azpilicueta_3857291,7.5
Sofyan Amrabat,7.632903652,0.138955443,0.054953698,0.046296296,139,1.303098834,0.065094501,0.058201058,3869552,Morocco,Sofyan Amrabat_3869552,6.7
Saud Abdullah Abdul Hamid,7.615766871,0.142449104,0.048954388,0.03042328,107,1.57076029,0.055056606,0.031746032,3857297,Saudi Arabia,Saud Abdulhamid_3857297,7
Youssouf Sabaly,7.606788739,0.129676914,0.051278858,0.054022989,135,1.428787421,0.069972834,0.088505747,3857301,Senegal,Youssouf Sabaly_3857301,7.1
Takehiro Tomiyasu,7.597431699,0.114649805,0.040111795,0.021169355,108,1.421127752,0.055326697,0.065020161,3869219,Japan,Takehiro Tomiyasu_3869219,6.6
Rodri,7.592864388,0.109126329,0.041758872,0.026436782,399,4.018308597,0.085390357,0.148850575,3857255,Spain,Rodri_3857255,7.2
Azzedine Ounahi,7.565851676,0.148470785,0.057545723,0.03042328,145,1.336824983,0.071923358,0.060846561,3869552,Morocco,Azzedine Ounahi_3869552,6.9
Aurélien Djani Tchouaméni,7.558264898,0.116188726,0.041030982,0.014204545,100,1.149676012,0.049893068,0.051136364,3869685,France,Aurélien Tchouaméni_3869685,6.4
Sofyan Amrabat,7.556920285,0.135416936,0.044345294,0.006157635,87,1.381356799,0.048606327,0.04679803,3869684,Morocco,Sofyan Amrabat_3869684,6.4
Bruno Miguel Borges Fernandes,7.55450234,0.122903237,0.047432,0.01827957,104,1.452942393,0.05148716,0.033870968,3857298,Portugal,Bruno Fernandes_3857298,8.4
Hidemasa Morita,7.550715024,0.124969759,0.050333779,0.016129032,90,1.32962848,0.049585003,0.019153226,3869219,Japan,Hidemasa Morita_3869219,6.6
Lionel Andrés Messi Cuccittini,7.543524985,0.133940442,0.048821075,0.033333333,84,1.473903611,0.049720989,0.025287356,3857289,Argentina,Lionel Messi_3857289,7.9
Frenkie de Jong,7.542057898,0.122904464,0.040555682,0.007056452,158,1.661609618,0.055606553,0.05141129,3869321,Netherlands,Frenkie de Jong_3869321,6.6
Harry Maguire,7.542048269,0.125181632,0.044657591,0.017204301,159,1.758817008,0.064972776,0.100537634,3857261,England,Harry Maguire_3857261,7
